State/Territory,Postcode
Queensland,"4472, 4478, 4481, 4482, 4680, 4694, 4695, 4697, 4699, 4700, 4701, 4702, 4703, 4704, 4705, 4706, 4707, 4709, 4710, 4711, 4712, 4713, 4714, 4717, 4720, 4721, 4722, 4723, 4724, 4725, 4726, 4727, 4728, 4730, 4731, 4732, 4733, 4735, 4736, 4737, 4738, 4739, 4740, 4741, 4742, 4743, 4744, 4745, 4746, 4750, 4751, 4753, 4754, 4756, 4757, 4798, 4799, 4800, 4801, 4802, 4803, 4804, 4805, 4806, 4807, 4808, 4809, 4810, 4811, 4812, 4814, 4815, 4816, 4817, 4818, 4819, 4820, 4821, 4822, 4823, 4824, 4825, 4828, 4829, 4830, 4849, 4850, 4852, 4854, 4855, 4856, 4858, 4859, 4860, 4861, 4865, 4868, 4869, 4870, 4871, 4872, 4873, 4874, 4875, 4876, 4877, 4878, 4879, 4880, 4881, 4882, 4883, 4884, 4885, 4886, 4887, 4888, 4890, 4891, 4892, 4895"
Western Australia,"0872, 6537, 6642, 6646, 6701, 6705, 6707, 6710, 6711, 6712, 6713, 6714, 6716, 6718, 6720, 6721, 6722, 6725, 6726, 6728, 6740, 6743, 6751, 6753, 6754, 6758, 6760, 6762, 6765, 6770"
Northern Territory,"All postcodes in Northern Territory are eligible"
